 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   347   -1.9459  -705679.567610  -705673.977263
   348   -1.9464  -705840.686855  -705834.360094
   349   -1.8289  -705614.922718  -705606.311949
   350   -2.0586  -705811.185347  -705809.695302
   351   -1.9431  -705484.549986  -705480.957950
   352   -1.9087  -705847.078974  -705841.986495
   353   -1.8884  -705625.363051  -705617.542336
   354   -1.9670  -705453.238964  -705445.951667
   355   -1.9241  -705840.065724  -705832.618682
   356   -1.9343  -705488.535392  -705483.889738
   357   -2.0196  -705532.713591  -705529.587440
   358   -1.8996  -705801.950488  -705795.637678
   359   -1.9885  -705773.382771  -705764.854206
   360   -2.0081  -705582.042995  -705572.896728
   361   -2.0290  -705468.504237  -705458.595904
   362   -1.9799  -705627.918572  -705622.539251
   363   -2.0787  -705540.944475  -705531.323027
   364   -1.9346  -705315.562245  -705306.335771
   365   -1.7845  -705707.355534  -705701.660169
   366   -2.0444  -705475.942873  -705469.514682
   367   -1.9774  -705736.460973  -705732.254736
   368   -1.8892  -705499.393371  -705492.748437
   369   -1.7933  -705670.435005  -705660.119469
   370   -1.9429  -705467.077335  -705457.414207
   371   -1.9911  -705409.342825  -705403.724629
   372   -1.8698  -705469.179113  -705459.986661
   373   -1.8862  -705493.864724  -705486.774779
   374   -1.8284  -705609.382566  -705600.495217
   375   -2.0893  -705672.672918  -705661.052004
   376   -1.8729  -705172.308222  -705165.358808
   377   -1.9306  -705533.949226  -705528.117936
   378   -1.9189  -705789.909333  -705782.286955
   379   -1.8689  -705466.895160  -705459.195464
   380   -1.9915  -705876.541253  -705868.601099
   381   -1.9992  -705504.027219  -705496.348574
   382   -1.9881  -705233.437927  -705227.346347
   383   -1.9084  -705252.337529  -705248.715878
   384   -1.8104  -705679.859634  -705672.687124
   385   -1.8708  -705363.434069  -705358.048802
   386   -2.0043  -705259.205591  -705254.619865
   387   -2.0328  -705399.241751  -705394.045465
   388   -1.9819  -705367.415679  -705358.930314
   389   -1.9330  -705537.977448  -705531.543564
   390   -2.0562  -705266.852977  -705258.648400
   391   -1.8620  -705530.149929  -705525.304963
   392   -1.8781  -705378.125047  -705370.689506
   393   -1.8798  -705496.161529  -705489.201387
   394   -1.9594  -705791.511823  -705787.192999
   395   -2.1673  -705527.894141  -705521.486777
   396   -2.0847  -705578.545536  -705575.033314
   397   -1.7229  -705539.733530  -705535.221580
   398   -1.8166  -705586.162360  -705576.327965
   399   -1.9634  -705631.196534  -705621.421454
   400   -2.0112  -705729.430971  -705722.648994
   401   -1.8645  -705393.170013  -705390.365879
   402   -1.8212  -705613.487881  -705600.932505
   403   -1.9348  -705306.296373  -705297.772691
   404   -2.1042  -705675.867086  -705664.714523
   405   -1.9229  -705686.953330  -705678.095956
   406   -1.7786  -705777.413847  -705770.031205
   407   -1.8663  -705842.134373  -705833.118089
   408   -1.8527  -705495.672168  -705493.699428
   409   -2.1332  -705684.811773  -705683.078567
   410   -1.7948  -705543.961490  -705535.039064
   411   -2.0917  -705365.188089  -705357.690291
   412   -2.0529  -705724.057786  -705717.722193
   413   -1.8474  -705633.088537  -705626.960614
   414   -1.7843  -705605.187795  -705596.168894
   415   -1.7962  -705584.741589  -705578.710237
   416   -2.0400  -705573.319446  -705565.003220
   417   -1.9706  -705638.154983  -705633.862892
   418   -1.9226  -705789.930072  -705778.621691
   419   -1.9362  -705484.913664  -705475.567626
   420   -1.9610  -705761.152210  -705755.204410
   421   -1.9275  -705564.329812  -705555.046783
   422   -1.9723  -705511.685804  -705503.147160
   423   -1.9318  -705680.405763  -705675.165826
   424   -1.7652  -705687.696469  -705678.508175
   425   -2.0485  -705614.243590  -705610.422164
   426   -2.0051  -705257.839585  -705252.164396
   427   -1.8097  -705643.585257  -705638.822043
   428   -1.9741  -705482.505013  -705471.395314
   429   -1.9419  -705308.997720  -705300.846495
   430   -2.1251  -705350.314587  -705334.019615
   431   -1.7495  -705395.655470  -705389.520311
   432   -1.9657  -705460.821945  -705453.831038
   433   -1.9794  -705750.534844  -705743.394645
   434   -1.9065  -705545.490802  -705537.010725
   435   -1.8506  -705483.546203  -705479.257340
   436   -1.9151  -705526.794060  -705518.794737
   437   -2.0061  -705288.047073  -705283.824583
   438   -1.9528  -705365.021062  -705356.844750
   439   -1.9102  -705387.339666  -705380.922489
   440   -1.8763  -705445.561252  -705436.567727
   441   -1.9315  -705616.271934  -705615.219964
   442   -1.8482  -705564.187401  -705553.782370
   443   -1.8813  -705413.497874  -705402.263999
   444   -2.0413  -705371.743726  -705363.399829
   445   -1.9079  -705553.754966  -705543.357697
   446   -1.8960  -705293.723220  -705287.775574
   447   -1.8571  -705498.885180  -705490.918270
   448   -1.9257  -705475.421445  -705470.357975
   449   -1.9797  -705717.193353  -705705.467630
   450   -1.9365  -705514.233961  -705502.455250
   451   -1.9538  -705591.467237  -705582.467679
   452   -1.9319  -705509.798397  -705499.687070
   453   -1.8379  -705453.117345  -705445.502641
   454   -1.9394  -705404.008598  -705394.816776
   455   -2.0751  -705458.220486  -705451.020288
   456   -2.0131  -705480.492708  -705473.707986
   457   -1.8607  -705344.095835  -705335.118482
   458   -1.9061  -705601.109356  -705590.445152
   459   -1.8456  -705347.711221  -705342.532168
