 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
   404    0.1650  -698471.634144  -698468.333526
   405    0.1334  -698378.916594  -698371.751610
   406    0.2254  -698516.456690  -698514.116775
   407    0.2911  -698546.635706  -698543.402224
   408    0.1059  -698573.145197  -698569.742726
   409    0.2105  -698580.922428  -698576.346579
   410    0.1348  -698709.035591  -698706.172772
   411    0.2058  -698623.210933  -698618.287562
   412    0.1671  -698260.827002  -698259.826497
   413    0.1380  -698674.591994  -698672.190486
   414    0.1559  -698725.517512  -698725.868385
   415    0.1690  -698025.397395  -698021.233280
   416    0.1606  -698853.558315  -698849.558143
   417   -0.0199  -698618.048689  -698612.178443
   418    0.2448  -698620.753945  -698618.297613
   419    0.2065  -698727.865922  -698725.954112
   420    0.2575  -698161.968857  -698160.156187
   421    0.2014  -698578.241275  -698576.268742
   422    0.2691  -698367.143649  -698363.726912
   423    0.1939  -698151.286953  -698144.326679
   424    0.3163  -698245.300255  -698242.421187
   425    0.2125  -698924.766557  -698921.435316
   426    0.3465  -698308.392569  -698304.905529
   427    0.1985  -698698.682240  -698695.646345
   428    0.2996  -698718.891535  -698713.510595
   429    0.1617  -698712.100885  -698707.855180
   430    0.2835  -698558.702466  -698556.267037
   431    0.0757  -698459.682308  -698458.640655
   432    0.3073  -698360.747073  -698358.842728
   433    0.1579  -698595.898037  -698593.206517
   434    0.2776  -698273.864198  -698271.676250
   435    0.3057  -698826.891972  -698822.234140
   436    0.3598  -698434.582528  -698431.697568
   437    0.2212  -698743.068747  -698739.092131
   438    0.1366  -698351.543403  -698345.220486
   439    0.0949  -698254.552878  -698247.997682
   440    0.1266  -698594.029404  -698586.348132
   441    0.1305  -698470.814932  -698466.369130
   442    0.1959  -698600.741919  -698596.521688
   443    0.1732  -698855.336792  -698852.317556
   444    0.2172  -698308.330690  -698303.598956
   445    0.2178  -698783.175189  -698781.287652
   446    0.1598  -698514.936536  -698506.629148
   447    0.1326  -698432.646406  -698429.910376
   448    0.2142  -698347.101245  -698346.681969
   449    0.1620  -698554.290124  -698550.869976
   450    0.1487  -698440.635493  -698435.414392
   451    0.1597  -698581.249283  -698574.864597
   452    0.2120  -698561.661934  -698556.033881
   453    0.1453  -698564.042024  -698556.774256
   454    0.2651  -698266.322320  -698261.426994
   455    0.2322  -698191.853947  -698187.926034
   456    0.2238  -698430.652382  -698428.966375
   457    0.2174  -698528.453205  -698524.021721
   458    0.2778  -698559.935150  -698556.951650
   459    0.2636  -698127.222637  -698120.768911
   460    0.2538  -698657.750744  -698653.755577
   461    0.0669  -698269.759741  -698265.743564
   462    0.1995  -698340.931294  -698333.564388
   463    0.2756  -698599.945745  -698594.890258
   464    0.1341  -698754.787858  -698745.420222
   465    0.1495  -698371.166120  -698366.377562
   466    0.2945  -698458.983137  -698451.393592
   467    0.2280  -698735.082665  -698728.354952
   468    0.1520  -698508.305490  -698501.183556
   469    0.2100  -698485.097534  -698479.446542
   470    0.1550  -698315.509793  -698313.704589
   471    0.2805  -698254.318676  -698249.450919
   472    0.2604  -698529.429758  -698527.245568
   473    0.0223  -698429.422843  -698422.666851
   474    0.1794  -698278.025614  -698273.419098
   475    0.3315  -698505.067774  -698500.506555
   476    0.2485  -698496.977513  -698495.035550
   477    0.1752  -698646.470983  -698643.460395
   478    0.2750  -698262.796872  -698256.783933
   479    0.2345  -698362.554922  -698358.615841
   480    0.1864  -698358.757123  -698356.145266
   481    0.1325  -698525.857789  -698519.928507
   482    0.2407  -698369.954763  -698364.765943
   483    0.1533  -698379.885365  -698377.449187
   484    0.2081  -698186.568677  -698182.332797
   485    0.1020  -698512.102342  -698510.409668
   486    0.2610  -698444.065683  -698437.159584
   487    0.2693  -698375.351791  -698369.372209
   488    0.1981  -698750.829449  -698745.565747
   489    0.2491  -698426.426299  -698421.362240
   490    0.2986  -698323.932759  -698318.351599
   491    0.1130  -698436.502848  -698432.391905
   492    0.2565  -698456.409707  -698453.628768
   493    0.4208  -698480.035957  -698476.405121
   494    0.1852  -698587.973377  -698585.152791
   495    0.2114  -698645.276590  -698642.366853
   496    0.0623  -698406.414280  -698403.300973
   497    0.2156  -698198.766567  -698195.503316
   498    0.2792  -698485.352504  -698480.379094
   499    0.2601  -698333.566659  -698330.254292
   500    0.1200  -698184.846764  -698182.279570
   501    0.3366  -698450.310586  -698447.889474
   502    0.1880  -698638.350627  -698637.918457
   503    0.1800  -698664.519708  -698662.750317
   504    0.0843  -698526.011480  -698522.271763
   505    0.0830  -698495.928822  -698490.313232
   506    0.2596  -698373.880848  -698370.458403
   507    0.1801  -698562.728512  -698557.771959
   508    0.2309  -698445.679690  -698441.957078
   509    0.0983  -698478.307288  -698474.849269
   510    0.0848  -698157.028687  -698152.398242
   511    0.1605  -698573.633151  -698569.618692
   512    0.1384  -698305.102987  -698299.776328
   513    0.1420  -698843.322654  -698839.862411
   514    0.1835  -698374.705493  -698369.823006
   515   -0.0252  -698420.799531  -698418.249811
   516    0.2380  -698498.535229  -698494.309871
   517    0.1023  -698606.680364  -698605.315421
   518    0.0658  -698411.405613  -698409.115173
   519    0.1339  -698230.833801  -698227.476790
   520    0.2026  -698139.652525  -698134.061079
   521    0.0805  -698455.142096  -698450.266049
   522    0.1984  -698407.907896  -698403.504725
   523    0.2073  -698493.707473  -698490.200147
   524    0.2587  -698448.942595  -698446.448835
   525    0.1330  -698520.757185  -698515.615763
   526    0.2260  -698653.045921  -698651.338160
   527    0.0803  -698509.068247  -698506.085000
   528    0.2148  -698427.149043  -698421.363025
   529    0.0852  -698454.154913  -698450.902687
   530    0.3068  -698374.724995  -698371.033571
   531    0.0838  -698385.771205  -698381.833258
   532    0.1839  -698582.544928  -698578.459927
   533    0.0713  -698379.824452  -698372.268020
   534    0.1808  -698474.929334  -698471.096571
   535    0.1173  -698370.362737  -698367.268242
   536    0.1649  -698086.027926  -698082.222861
   537    0.1758  -698749.605462  -698745.080025
   538    0.0984  -698458.213428  -698455.422332
   539    0.1239  -698741.677830  -698736.230756
   540    0.2887  -698585.473433  -698581.754522
   541    0.3703  -698692.710181  -698690.317282
   542    0.1627  -698113.848592  -698112.123802
   543    0.2956  -698265.679681  -698261.218339
   544    0.2635  -698615.753651  -698613.350226
   545    0.2075  -698387.643560  -698382.705375
   546    0.1540  -698457.874724  -698453.110822
   547    0.1870  -698587.407544  -698581.349194
   548    0.1814  -698647.191033  -698643.263125
   549    0.2502  -698364.527901  -698359.569611
   550    0.1646  -698326.558934  -698323.390591
   551    0.1586  -698467.545439  -698465.144716
